series,challenge,type_bake,n_bakes
1,showstopper,cake,5
1,signature,cake,12
2,showstopper,cake,8
2,signature,cake,21
3,showstopper,cake,12
3,signature,cake,24
4,showstopper,cake,27
4,signature,cake,11
5,showstopper,cake,20
5,signature,cake,4
6,showstopper,cake,12
6,signature,cake,20
7,showstopper,cake,19
7,signature,cake,11
8,showstopper,cake,26
8,signature,cake,21
1,showstopper,pie_tart,5
1,signature,pie_tart,4
2,showstopper,pie_tart,17
2,signature,pie_tart,7
3,showstopper,pie_tart,17
3,signature,pie_tart,12
4,showstopper,pie_tart,9
4,signature,pie_tart,15
5,showstopper,pie_tart,6
5,signature,pie_tart,7
6,showstopper,pie_tart,0
6,signature,pie_tart,17
7,showstopper,pie_tart,3
7,signature,pie_tart,10
8,showstopper,pie_tart,12
8,signature,pie_tart,8
